Dystans do przejscia: 1000, dlugosc kroku: 5
705: (x,y)=(174.789,64.9443)
706: (x,y)=(172.998,69.6122)
707: (x,y)=(177.634,67.7392)
708: (x,y)=(173.14,69.931)
709: (x,y)=(175.715,65.6452)
710: (x,y)=(170.987,64.0173)
711: (x,y)=(165.999,64.3661)
712: (x,y)=(170.372,66.7902)
713: (x,y)=(168.499,62.1542)
714: (x,y)=(173.167,63.9461)
715: (x,y)=(178.155,64.2949)
716: (x,y)=(182.395,61.6453)
717: (x,y)=(177.457,62.4274)
718: (x,y)=(177.457,57.4274)
719: (x,y)=(178.667,62.2789)
720: (x,y)=(182.997,59.7789)
721: (x,y)=(187.984,60.1277)
722: (x,y)=(192.981,59.9532)
723: (x,y)=(192.807,64.9502)
724: (x,y)=(187.868,65.7323)
725: (x,y)=(183.983,68.8789)
726: (x,y)=(179.111,67.7542)
727: (x,y)=(177.401,72.4526)
728: (x,y)=(175.691,77.1511)
729: (x,y)=(178.266,81.4369)
730: (x,y)=(181.205,77.3919)
731: (x,y)=(183.705,73.0617)
732: (x,y)=(178.781,72.1935)
733: (x,y)=(179.82,67.3028)
734: (x,y)=(182.899,63.3627)
735: (x,y)=(185.908,67.3559)
736: (x,y)=(189.738,70.5698)
737: (x,y)=(185.039,72.2799)
738: (x,y)=(189.607,74.3136)
739: (x,y)=(191.72,69.7821)
740: (x,y)=(196.527,71.1602)
741: (x,y)=(200.3,74.4405)
742: (x,y)=(197.361,78.4856)
743: (x,y)=(201.354,81.4947)
744: (x,y)=(196.599,79.9496)
745: (x,y)=(201.49,80.9892)
746: (x,y)=(196.762,79.3613)
747: (x,y)=(191.769,79.623)
748: (x,y)=(193.397,74.8954)
749: (x,y)=(192.615,79.8339)
750: (x,y)=(187.947,78.042)
751: (x,y)=(183.617,75.542)
752: (x,y)=(181.425,80.036)
753: (x,y)=(176.534,78.9964)
754: (x,y)=(172.704,75.7825)
755: (x,y)=(176.99,73.2073)
756: (x,y)=(172.009,72.7715)
757: (x,y)=(173.048,77.6623)
758: (x,y)=(172.7,82.6501)
759: (x,y)=(174.161,87.4316)
760: (x,y)=(171.97,82.9376)
761: (x,y)=(167.874,80.0698)
762: (x,y)=(164.401,76.4731)
763: (x,y)=(169.373,76.9957)
764: (x,y)=(171.72,72.581)
765: (x,y)=(176.714,72.3193)
766: (x,y)=(172.259,70.0493)
767: (x,y)=(167.278,70.4851)
768: (x,y)=(162.284,70.7468)
769: (x,y)=(163.663,75.5531)
770: (x,y)=(159.06,77.5068)
771: (x,y)=(161.094,72.939)
772: (x,y)=(161.268,77.936)
773: (x,y)=(165.262,74.9269)
774: (x,y)=(167.609,70.5122)
775: (x,y)=(172.177,72.5459)
776: (x,y)=(176.55,70.1218)
777: (x,y)=(181.305,71.6669)
778: (x,y)=(186.243,70.8847)
779: (x,y)=(183.165,74.8248)
780: (x,y)=(186.995,71.6108)
781: (x,y)=(183.715,75.3844)
782: (x,y)=(179.184,73.2713)
783: (x,y)=(183.469,70.6961)
784: (x,y)=(185.179,75.3946)
785: (x,y)=(182.241,71.3495)
786: (x,y)=(178.895,75.0652)
787: (x,y)=(176.099,70.92)
788: (x,y)=(180.385,73.4952)
789: (x,y)=(185.293,74.4492)
790: (x,y)=(187.166,79.0852)
791: (x,y)=(186.126,83.9759)
792: (x,y)=(187.505,88.7822)
793: (x,y)=(184.358,92.6679)
794: (x,y)=(186.15,97.3358)
795: (x,y)=(183.802,101.751)
796: (x,y)=(188.296,99.5587)
797: (x,y)=(192.751,101.829)
798: (x,y)=(188.22,99.7156)
799: (x,y)=(192.365,96.9196)
800: (x,y)=(196.41,93.9807)
801: (x,y)=(195.542,98.9047)
802: (x,y)=(191.497,95.9658)
803: (x,y)=(189.073,100.339)
804: (x,y)=(185.299,97.0586)
805: (x,y)=(185.212,102.058)
806: (x,y)=(180.43,100.596)
807: (x,y)=(175.936,102.788)
808: (x,y)=(172.591,99.0721)
809: (x,y)=(176.687,101.94)
810: (x,y)=(181.659,102.463)
811: (x,y)=(178.863,106.608)
812: (x,y)=(179.386,101.635)
813: (x,y)=(182.921,98.0997)
814: (x,y)=(181.712,102.951)
815: (x,y)=(176.804,103.905)
816: (x,y)=(172.918,107.052)
817: (x,y)=(168.503,104.704)
818: (x,y)=(170.376,109.34)
819: (x,y)=(168.748,114.068)
820: (x,y)=(163.919,112.774)
821: (x,y)=(161.495,108.401)
822: (x,y)=(156.688,109.779)
823: (x,y)=(159.902,105.949)
824: (x,y)=(161.447,101.193)
825: (x,y)=(158.724,105.387)
826: (x,y)=(155.251,101.79)
827: (x,y)=(150.921,104.29)
828: (x,y)=(147.575,100.574)
829: (x,y)=(142.603,101.097)
830: (x,y)=(137.751,102.307)
831: (x,y)=(134.604,106.192)
832: (x,y)=(137.254,110.433)
833: (x,y)=(142.205,109.737)
834: (x,y)=(139.781,114.11)
835: (x,y)=(135.145,112.237)
836: (x,y)=(138.224,116.177)
837: (x,y)=(140.494,111.722)
838: (x,y)=(139.54,116.63)
839: (x,y)=(137.192,112.215)
840: (x,y)=(139.915,116.409)
841: (x,y)=(135.82,113.541)
842: (x,y)=(140.234,115.888)
843: (x,y)=(145.228,116.15)
844: (x,y)=(140.897,118.65)
845: (x,y)=(135.959,119.432)
846: (x,y)=(132.745,123.262)
847: (x,y)=(137.348,121.308)
848: (x,y)=(136.394,116.4)
849: (x,y)=(135.44,111.492)
850: (x,y)=(136.649,106.641)
851: (x,y)=(131.711,107.423)
852: (x,y)=(127.666,104.484)
853: (x,y)=(123.293,102.06)
854: (x,y)=(118.657,103.933)
855: (x,y)=(113.676,103.497)
856: (x,y)=(109.303,105.921)
857: (x,y)=(105.062,103.272)
858: (x,y)=(102.194,99.1759)
859: (x,y)=(104.228,94.6081)
860: (x,y)=(106.803,98.894)
861: (x,y)=(109.812,102.887)
862: (x,y)=(114.511,104.597)
863: (x,y)=(117.307,108.742)
864: (x,y)=(122.062,110.288)
865: (x,y)=(121.28,105.349)
866: (x,y)=(121.803,110.322)
867: (x,y)=(118.522,106.548)
868: (x,y)=(115.513,110.541)
869: (x,y)=(119.609,107.673)
870: (x,y)=(124.59,107.238)
871: (x,y)=(119.718,106.113)
872: (x,y)=(123.254,102.577)
873: (x,y)=(126.727,106.174)
874: (x,y)=(126.204,111.147)
875: (x,y)=(126.814,106.184)
876: (x,y)=(123.946,110.28)
877: (x,y)=(119.414,112.393)
878: (x,y)=(120.023,107.43)
879: (x,y)=(118.645,112.236)
880: (x,y)=(122.839,109.513)
881: (x,y)=(117.839,109.6)
882: (x,y)=(113.694,106.804)
883: (x,y)=(113.085,101.842)
884: (x,y)=(108.122,101.232)
885: (x,y)=(110.546,96.8593)
886: (x,y)=(110.895,91.8715)
887: (x,y)=(111.935,96.7622)
888: (x,y)=(116.08,93.9663)
889: (x,y)=(119.676,97.4396)
890: (x,y)=(120.372,92.4882)
891: (x,y)=(122.947,88.2024)
892: (x,y)=(121.402,92.9577)
893: (x,y)=(119.529,88.3217)
894: (x,y)=(116.59,92.3668)
895: (x,y)=(121.481,91.3273)
896: (x,y)=(119.936,96.0826)
897: (x,y)=(124.917,95.6468)
898: (x,y)=(120.136,94.1849)
899: (x,y)=(115.197,94.9671)
900: (x,y)=(116.322,99.8389)
901: (x,y)=(114.53,104.507)
902: (x,y)=(118.675,101.711)
903: (x,y)=(120.385,106.409)
904: (x,y)=(123.109,110.603)
905: (x,y)=(121.155,115.205)
906: (x,y)=(117.325,118.419)
907: (x,y)=(121.318,115.41)
908: (x,y)=(116.446,114.285)
909: (x,y)=(113.036,110.629)
910: (x,y)=(108.94,107.761)
911: (x,y)=(112.933,104.752)
912: (x,y)=(112.498,99.7706)
913: (x,y)=(107.589,100.725)
914: (x,y)=(107.067,95.7521)
915: (x,y)=(103.022,98.691)
916: (x,y)=(107.946,97.8227)
917: (x,y)=(112.232,100.398)
918: (x,y)=(113.777,105.153)
919: (x,y)=(114.125,110.141)
920: (x,y)=(117.661,113.677)
921: (x,y)=(119.039,118.483)
922: (x,y)=(122.636,121.956)
923: (x,y)=(120.444,117.462)
924: (x,y)=(122.236,122.13)
925: (x,y)=(123.19,127.038)
926: (x,y)=(119.78,123.381)
927: (x,y)=(121.734,118.779)
928: (x,y)=(119.234,114.449)
929: (x,y)=(116.02,118.279)
930: (x,y)=(115.324,123.23)
931: (x,y)=(117.671,118.816)
932: (x,y)=(121.144,122.412)
933: (x,y)=(116.157,122.064)
934: (x,y)=(111.458,123.774)
935: (x,y)=(115.603,126.57)
936: (x,y)=(112.88,130.763)
937: (x,y)=(117.025,127.967)
938: (x,y)=(121.998,128.49)
939: (x,y)=(117.06,127.707)
940: (x,y)=(113.846,131.538)
941: (x,y)=(108.883,130.928)
942: (x,y)=(109.665,135.867)
943: (x,y)=(105.779,139.013)
944: (x,y)=(109.719,135.935)
945: (x,y)=(110.329,140.898)
946: (x,y)=(115.027,142.608)
947: (x,y)=(112.452,138.322)
948: (x,y)=(115.248,142.467)
949: (x,y)=(110.493,140.922)
950: (x,y)=(112.606,136.391)
951: (x,y)=(112.083,141.363)
952: (x,y)=(116.179,138.495)
953: (x,y)=(120.747,140.529)
954: (x,y)=(117.401,136.813)
955: (x,y)=(114.121,140.587)
956: (x,y)=(109.14,140.151)
957: (x,y)=(104.288,138.942)
958: (x,y)=(102.096,143.435)
959: (x,y)=(106.852,144.981)
960: (x,y)=(109.575,140.787)
961: (x,y)=(104.723,139.578)
962: (x,y)=(108.259,143.113)
963: (x,y)=(106.146,147.645)
964: (x,y)=(110.873,149.273)
965: (x,y)=(105.876,149.098)
966: (x,y)=(105.441,154.079)
967: (x,y)=(110.312,155.204)
968: (x,y)=(109.964,150.216)
969: (x,y)=(108.586,145.41)
970: (x,y)=(104.592,148.419)
971: (x,y)=(99.9564,146.546)
972: (x,y)=(100.218,141.553)
973: (x,y)=(102.793,145.838)
974: (x,y)=(102.706,150.838)
975: (x,y)=(105.502,146.692)
976: (x,y)=(110.284,148.154)
977: (x,y)=(105.454,146.86)
978: (x,y)=(108.8,150.576)
979: (x,y)=(104.514,148.001)
980: (x,y)=(103.389,143.129)
981: (x,y)=(108.025,145.002)
982: (x,y)=(111.371,141.286)
983: (x,y)=(111.109,146.279)
984: (x,y)=(115.807,147.989)
985: (x,y)=(119.8,150.998)
986: (x,y)=(124.607,149.62)
987: (x,y)=(125.561,144.712)
988: (x,y)=(121.675,147.859)
989: (x,y)=(126.672,148.033)
990: (x,y)=(129.395,152.227)
991: (x,y)=(126.05,155.942)
992: (x,y)=(121.351,157.652)
993: (x,y)=(121.264,162.652)
994: (x,y)=(116.696,160.618)
995: (x,y)=(112.094,162.572)
996: (x,y)=(109.981,167.103)
997: (x,y)=(114.852,165.978)
998: (x,y)=(116.062,170.83)
999: (x,y)=(117.772,175.528)
1000: (x,y)=(114.492,171.755)
1001: (x,y)=(111.553,167.71)
1002: (x,y)=(106.825,166.082)
1003: (x,y)=(109.249,161.709)
1004: (x,y)=(113.242,164.718)
1005: (x,y)=(113.852,169.681)
1006: (x,y)=(109.249,171.634)
1007: (x,y)=(105.364,168.488)
1008: (x,y)=(108.013,164.247)
1009: (x,y)=(109.641,168.975)
1010: (x,y)=(109.467,173.972)
1011: (x,y)=(114.447,174.408)
1012: (x,y)=(113.408,169.517)
1013: (x,y)=(118.189,170.979)
1014: (x,y)=(119.981,166.311)
1015: (x,y)=(115.043,165.529)
1016: (x,y)=(113.415,170.256)
1017: (x,y)=(114.369,165.348)
1018: (x,y)=(110.429,168.427)
1019: (x,y)=(107.215,164.596)
1020: (x,y)=(102.434,166.058)
1021: (x,y)=(97.652,164.596)
1022: (x,y)=(102.649,164.771)
1023: (x,y)=(104.359,160.072)
1024: (x,y)=(107.437,164.012)
1025: (x,y)=(103.552,167.159)
1026: (x,y)=(101.76,162.491)
1027: (x,y)=(97.0614,164.201)
1028: (x,y)=(98.4395,159.395)
1029: (x,y)=(103.107,161.187)
1030: (x,y)=(99.5719,164.722)
1031: (x,y)=(103.902,167.222)
1032: (x,y)=(103.728,172.219)
1033: (x,y)=(103.989,167.226)
1034: (x,y)=(107.463,170.823)
1035: (x,y)=(112.414,170.127)
1036: (x,y)=(114.042,174.855)
1037: (x,y)=(118.71,173.063)
1038: (x,y)=(119.492,168.124)
1039: (x,y)=(115.956,171.66)
1040: (x,y)=(119.896,168.581)
1041: (x,y)=(123.177,172.355)
1042: (x,y)=(119.031,175.151)
1043: (x,y)=(116.84,170.657)
1044: (x,y)=(117.879,165.766)
1045: (x,y)=(112.941,164.984)
1046: (x,y)=(110.441,169.314)
1047: (x,y)=(111.223,164.376)
1048: (x,y)=(106.937,166.951)
1049: (x,y)=(104.214,162.758)
1050: (x,y)=(109.043,164.052)
1051: (x,y)=(104.092,164.748)
1052: (x,y)=(103.743,159.76)
1053: (x,y)=(102.198,155.004)
1054: (x,y)=(107.195,154.83)
1055: (x,y)=(107.108,149.831)
1056: (x,y)=(102.256,148.621)
1057: (x,y)=(106.824,146.587)
1058: (x,y)=(103.108,149.933)
1059: (x,y)=(98.1358,150.456)
1060: (x,y)=(98.7452,145.493)
1061: (x,y)=(96.0956,141.253)
1062: (x,y)=(100.663,143.286)
1063: (x,y)=(95.712,142.591)
1064: (x,y)=(97.9038,138.097)
1065: (x,y)=(101.118,141.927)
1066: (x,y)=(96.8319,139.352)
1067: (x,y)=(92.1335,141.062)
1068: (x,y)=(88.7235,144.719)
1069: (x,y)=(91.8018,148.659)
1070: (x,y)=(87.1033,146.948)
1071: (x,y)=(87.7127,151.911)
1072: (x,y)=(88.9223,147.06)
1073: (x,y)=(85.9132,151.053)
1074: (x,y)=(82.7666,154.939)
1075: (x,y)=(84.8797,159.47)
1076: (x,y)=(89.4822,157.517)
1077: (x,y)=(92.5605,161.457)
1078: (x,y)=(89.025,164.992)
1079: (x,y)=(93.9331,165.946)
1080: (x,y)=(98.7846,167.156)
1081: (x,y)=(94.7914,170.165)
1082: (x,y)=(92.5215,165.71)
1083: (x,y)=(91.3118,160.858)
1084: (x,y)=(92.3514,155.968)
1085: (x,y)=(88.7547,152.494)
1086: (x,y)=(83.9032,153.704)
1087: (x,y)=(87.999,150.836)
1088: (x,y)=(91.2129,154.666)
1089: (x,y)=(95.258,151.727)
1090: (x,y)=(94.7354,156.7)
1091: (x,y)=(90.542,153.977)
1092: (x,y)=(95.3716,155.271)
1093: (x,y)=(98.9683,158.744)
1094: (x,y)=(100.347,153.938)
1095: (x,y)=(99.2218,149.066)
1096: (x,y)=(94.234,148.717)
1097: (x,y)=(99.1724,147.935)
1098: (x,y)=(103.74,149.969)
1099: (x,y)=(99.4543,147.393)
1100: (x,y)=(95.7975,150.803)
1101: (x,y)=(94.2524,155.559)
1102: (x,y)=(96.2861,160.126)
1103: (x,y)=(91.5877,158.416)
1104: (x,y)=(96.0024,160.764)
1105: (x,y)=(100.67,158.972)
1106: (x,y)=(95.7796,157.932)
1107: (x,y)=(99.8246,154.993)
1108: (x,y)=(98.615,150.142)
1109: (x,y)=(103.283,151.934)
1110: (x,y)=(108.113,153.228)
1111: (x,y)=(104.173,150.15)
1112: (x,y)=(107.946,146.869)
1113: (x,y)=(107.423,141.897)
1114: (x,y)=(108.463,137.006)
1115: (x,y)=(104.689,133.726)
1116: (x,y)=(101.344,130.01)
1117: (x,y)=(106.173,131.304)
1118: (x,y)=(111.154,130.868)
1119: (x,y)=(107.498,134.278)
1120: (x,y)=(102.691,132.9)
1121: (x,y)=(97.7832,133.854)
1122: (x,y)=(93.8431,130.776)
1123: (x,y)=(89.3116,128.663)
1124: (x,y)=(92.3899,124.723)
1125: (x,y)=(87.3967,124.984)
1126: (x,y)=(85.2836,129.516)
1127: (x,y)=(87.0755,134.184)
1128: (x,y)=(82.1241,134.88)
1129: (x,y)=(78.0284,132.012)
1130: (x,y)=(73.4968,134.125)
1131: (x,y)=(68.8609,132.252)
1132: (x,y)=(63.9225,133.034)
1133: (x,y)=(60.0367,136.181)
1134: (x,y)=(57.3136,140.374)
1135: (x,y)=(61.6867,142.798)
1136: (x,y)=(60.9045,147.736)
1137: (x,y)=(64.9496,150.675)
1138: (x,y)=(68.7798,153.889)
1139: (x,y)=(72.8249,156.828)
1140: (x,y)=(77.4608,158.701)
1141: (x,y)=(81.7466,161.276)
1142: (x,y)=(80.0365,156.578)
1143: (x,y)=(79.862,161.575)
1144: (x,y)=(75.4473,159.228)
1145: (x,y)=(70.4595,158.879)
1146: (x,y)=(66.1736,156.304)
1147: (x,y)=(66.3481,161.301)
1148: (x,y)=(65.054,156.471)
1149: (x,y)=(64.2719,161.409)
1150: (x,y)=(62.1588,165.941)
1151: (x,y)=(57.7857,163.517)
1152: (x,y)=(58.5678,168.455)
1153: (x,y)=(62.3981,165.241)
1154: (x,y)=(57.9041,167.433)
1155: (x,y)=(62.1899,170.008)
1156: (x,y)=(66.645,167.738)
1157: (x,y)=(63.849,171.884)
1158: (x,y)=(59.3175,169.771)
1159: (x,y)=(61.3511,165.203)
1160: (x,y)=(64.4978,161.317)
1161: (x,y)=(61.2838,165.147)
1162: (x,y)=(61.7196,170.128)
1163: (x,y)=(57.4338,172.703)
1164: (x,y)=(54.2872,176.589)
1165: (x,y)=(58.9551,178.381)
1166: (x,y)=(63.3698,176.034)
1167: (x,y)=(68.0377,174.242)
1168: (x,y)=(71.3833,170.526)
1169: (x,y)=(74.5973,174.356)
1170: (x,y)=(79.4269,173.062)
1171: (x,y)=(83.367,169.984)
1172: (x,y)=(78.5854,171.446)
1173: (x,y)=(75.2398,167.73)
1174: (x,y)=(79.385,164.934)
1175: (x,y)=(84.385,164.934)
1176: (x,y)=(84.0362,159.946)
1177: (x,y)=(82.8266,155.095)
1178: (x,y)=(87.6329,156.473)
1179: (x,y)=(83.0652,154.439)
1180: (x,y)=(88.0583,154.701)
1181: (x,y)=(88.0583,159.701)
1182: (x,y)=(83.0857,160.224)
1183: (x,y)=(82.7369,165.211)
1184: (x,y)=(79.6586,161.271)
1185: (x,y)=(74.9907,163.063)
1186: (x,y)=(70.0181,163.586)
1187: (x,y)=(67.7482,159.131)
1188: (x,y)=(63.0206,160.759)
1189: (x,y)=(67.1163,157.891)
1190: (x,y)=(66.3341,152.952)
1191: (x,y)=(69.0573,148.759)
1192: (x,y)=(67.9326,143.887)
1193: (x,y)=(68.8008,138.963)
1194: (x,y)=(70.0949,134.133)
1195: (x,y)=(74.7628,132.342)
1196: (x,y)=(75.8876,137.213)
1197: (x,y)=(70.9635,136.345)
1198: (x,y)=(75.8543,137.385)
1199: (x,y)=(70.9824,136.26)
1200: (x,y)=(69.5206,141.042)
1201: (x,y)=(65.2347,143.617)
1202: (x,y)=(62.9648,139.162)
1203: (x,y)=(64.7566,143.83)
1204: (x,y)=(66.8697,139.298)
1205: (x,y)=(64.5998,134.843)
1206: (x,y)=(60.032,136.877)
1207: (x,y)=(60.2937,141.87)
1208: (x,y)=(64.3388,138.931)
1209: (x,y)=(62.6287,143.629)
1210: (x,y)=(63.4109,138.691)
1211: (x,y)=(60.9868,143.064)
1212: (x,y)=(64.8726,139.917)
1213: (x,y)=(60.0211,141.127)
1214: (x,y)=(57.9874,136.559)
1215: (x,y)=(53.0967,135.52)
1216: (x,y)=(53.1839,140.519)
1217: (x,y)=(49.5872,137.046)
1218: (x,y)=(49.1514,142.027)
1219: (x,y)=(47.9418,137.175)
1220: (x,y)=(52.5096,139.209)
1221: (x,y)=(56.5546,136.27)
1222: (x,y)=(58.5083,140.873)
1223: (x,y)=(59.8865,136.066)
1224: (x,y)=(63.0331,139.952)
1225: (x,y)=(58.9373,142.82)
1226: (x,y)=(62.4729,146.355)
1227: (x,y)=(66.5686,143.487)
1228: (x,y)=(64.615,138.885)
1229: (x,y)=(60.1599,136.615)
1230: (x,y)=(65.1531,136.353)
1231: (x,y)=(62.0748,132.413)
1232: (x,y)=(67.0626,132.762)
1233: (x,y)=(62.7768,135.337)
1234: (x,y)=(58.5834,132.614)
1235: (x,y)=(60.6171,128.046)
1236: (x,y)=(55.6544,127.437)
1237: (x,y)=(57.5274,122.801)
1238: (x,y)=(56.0655,127.583)
1239: (x,y)=(54.9408,122.711)
1240: (x,y)=(51.225,119.365)
1241: (x,y)=(46.6573,121.399)
1242: (x,y)=(48.1192,126.18)
1243: (x,y)=(50.2323,130.712)
1244: (x,y)=(49.0227,135.563)
1245: (x,y)=(53.8945,136.688)
1246: (x,y)=(51.3193,140.974)
1247: (x,y)=(53.353,136.406)
1248: (x,y)=(48.5234,137.7)
1249: (x,y)=(52.4091,134.554)
1250: (x,y)=(56.5049,131.686)
1251: (x,y)=(52.5648,134.764)
1252: (x,y)=(56.5049,131.686)
1253: (x,y)=(56.7665,126.693)
1254: (x,y)=(52.6214,123.897)
1255: (x,y)=(48.7911,120.683)
1256: (x,y)=(52.6214,123.897)
1257: (x,y)=(57.0764,121.627)
1258: (x,y)=(61.9482,120.502)
1259: (x,y)=(63.6583,115.804)
1260: (x,y)=(67.3151,112.394)
1261: (x,y)=(64.1685,108.508)
1262: (x,y)=(61.8986,112.963)
1263: (x,y)=(57.8535,115.902)
1264: (x,y)=(54.0232,119.116)
1265: (x,y)=(52.9837,114.225)
1266: (x,y)=(52.5479,109.244)
1267: (x,y)=(48.6622,112.391)
1268: (x,y)=(43.8107,113.6)
1269: (x,y)=(46.0807,118.055)
1270: (x,y)=(45.9934,113.056)
1271: (x,y)=(40.9942,112.969)
1272: (x,y)=(36.5391,115.239)
1273: (x,y)=(33.4608,119.179)
1274: (x,y)=(29.9875,122.775)
1275: (x,y)=(25.385,120.822)
1276: (x,y)=(20.3972,120.473)
1277: (x,y)=(17.3881,116.48)
1278: (x,y)=(21.1617,119.76)
1279: (x,y)=(25.7642,117.806)
1280: (x,y)=(22.8963,113.711)
1281: (x,y)=(27.311,111.363)
1282: (x,y)=(25.438,115.999)
1283: (x,y)=(26.2202,111.061)
1284: (x,y)=(21.5217,109.351)
1285: (x,y)=(16.954,111.384)
1286: (x,y)=(16.4313,106.412)
1287: (x,y)=(11.5406,105.372)
1288: (x,y)=(9.19324,100.957)
1289: (x,y)=(13.2383,103.896)
1290: (x,y)=(13.5,98.9033)
1291: (x,y)=(17.955,101.173)
1292: (x,y)=(13.8593,104.041)
1293: (x,y)=(11.9862,99.4052)
1294: (x,y)=(13.9399,94.8026)
1295: (x,y)=(14.8081,99.7267)
1296: (x,y)=(15.8477,94.836)
1297: (x,y)=(20.7384,93.7964)
1298: (x,y)=(24.3952,90.3864)
1299: (x,y)=(21.2486,94.2721)
1300: (x,y)=(25.5344,91.6969)
1301: (x,y)=(21.2942,89.0473)
1302: (x,y)=(23.4861,93.5413)
1303: (x,y)=(28.4792,93.803)
1304: (x,y)=(29.0018,88.8304)
1305: (x,y)=(26.81,93.3244)
1306: (x,y)=(30.3455,96.8599)
1307: (x,y)=(32.2992,92.2574)
1308: (x,y)=(28.154,95.0533)
1309: (x,y)=(24.6185,91.5178)
1310: (x,y)=(28.6635,88.5789)
1311: (x,y)=(33.602,89.361)
1312: (x,y)=(36.1772,93.6469)
1313: (x,y)=(32.184,96.656)
1314: (x,y)=(35.5297,100.372)
1315: (x,y)=(35.007,95.3991)
1316: (x,y)=(39.5385,97.5122)
1317: (x,y)=(34.5758,98.1215)
1318: (x,y)=(33.2817,93.2919)
1319: (x,y)=(36.4283,97.1776)
1320: (x,y)=(35.9057,92.205)
1321: (x,y)=(37.2839,87.3987)
1322: (x,y)=(35.1708,82.8671)
1323: (x,y)=(39.3641,80.144)
1324: (x,y)=(37.9859,84.9503)
1325: (x,y)=(35.4108,89.2361)
1326: (x,y)=(30.5811,90.5302)
1327: (x,y)=(35.5439,89.9208)
1328: (x,y)=(30.8163,88.293)
1329: (x,y)=(35.1894,85.869)
1330: (x,y)=(30.2168,85.3463)
1331: (x,y)=(34.7107,87.5382)
1332: (x,y)=(33.0829,82.8106)
1333: (x,y)=(29.3093,86.0909)
1334: (x,y)=(27.6815,90.8185)
1335: (x,y)=(32.5722,91.858)
1336: (x,y)=(36.458,95.0046)
1337: (x,y)=(37.9198,90.2231)
1338: (x,y)=(42.9198,90.2231)
1339: (x,y)=(47.5557,92.0961)
1340: (x,y)=(48.0784,97.0687)
1341: (x,y)=(50.032,92.4662)
1342: (x,y)=(49.6833,87.4784)
1343: (x,y)=(44.7448,86.6962)
1344: (x,y)=(42.3975,91.111)
1345: (x,y)=(45.9942,94.5843)
1346: (x,y)=(43.8023,90.0903)
1347: (x,y)=(48.5008,91.8004)
1348: (x,y)=(53.4734,92.323)
1349: (x,y)=(57.8881,94.6704)
1350: (x,y)=(57.7136,89.6734)
1351: (x,y)=(53.4734,92.323)
1352: (x,y)=(52.0952,97.1293)
1353: (x,y)=(56.967,96.0046)
1354: (x,y)=(53.3103,92.5946)
1355: (x,y)=(49.7747,96.1301)
1356: (x,y)=(53.9681,98.8533)
1357: (x,y)=(54.3169,93.8655)
1358: (x,y)=(49.7143,95.8192)
1359: (x,y)=(50.0631,90.8313)
1360: (x,y)=(55.0259,90.222)
1361: (x,y)=(50.358,92.0138)
1362: (x,y)=(51.8198,87.2323)
1363: (x,y)=(50.028,82.5644)
1364: (x,y)=(54.0731,85.5033)
1365: (x,y)=(49.2667,84.1251)
1366: (x,y)=(53.9652,82.415)
1367: (x,y)=(51.4652,78.0849)
1368: (x,y)=(55.4584,75.0758)
1369: (x,y)=(56.3266,79.9999)
1370: (x,y)=(56.7624,84.9809)
1371: (x,y)=(54.9706,89.6488)
1372: (x,y)=(55.9246,84.7406)
1373: (x,y)=(54.4628,79.9591)
1374: (x,y)=(59.4559,79.6974)
1375: (x,y)=(58.5019,84.6056)
1376: (x,y)=(54.3085,87.3287)
1377: (x,y)=(59.3055,87.5032)
1378: (x,y)=(64.2986,87.2416)
1379: (x,y)=(63.6893,92.2043)
1380: (x,y)=(60.7503,96.2494)
1381: (x,y)=(65.7131,95.64)
1382: (x,y)=(63.289,100.013)
1383: (x,y)=(59.0488,97.3635)
1384: (x,y)=(61.1619,101.895)
1385: (x,y)=(57.7519,98.2383)
1386: (x,y)=(59.865,102.77)
1387: (x,y)=(55.3334,104.883)
1388: (x,y)=(55.2462,99.8837)
1389: (x,y)=(54.2921,94.9756)
1390: (x,y)=(57.3704,98.9156)
1391: (x,y)=(61.4155,101.855)
1392: (x,y)=(58.7659,106.095)
1393: (x,y)=(53.7728,106.356)
1394: (x,y)=(51.7391,101.789)
1395: (x,y)=(53.4492,106.487)
1396: (x,y)=(55.3222,101.851)
1397: (x,y)=(50.9075,99.5039)
1398: (x,y)=(51.3433,104.485)
1399: (x,y)=(48.4043,108.53)
1400: (x,y)=(43.5325,109.655)
1401: (x,y)=(43.6197,114.654)
1402: (x,y)=(44.9138,109.824)
1403: (x,y)=(40.5407,112.248)
1404: (x,y)=(40.192,117.236)
1405: (x,y)=(36.5352,120.646)
1406: (x,y)=(39.0352,124.976)
1407: (x,y)=(34.1112,125.845)
1408: (x,y)=(31.7638,121.43)
1409: (x,y)=(36.7022,122.212)
1410: (x,y)=(40.6954,119.203)
1411: (x,y)=(43.4186,115.01)
1412: (x,y)=(38.7507,113.218)
1413: (x,y)=(33.7507,113.218)
1414: (x,y)=(34.7048,118.126)
1415: (x,y)=(32.5917,122.657)
1416: (x,y)=(30.3998,127.151)
1417: (x,y)=(35.3382,126.369)
1418: (x,y)=(34.2987,121.478)
1419: (x,y)=(36.646,117.064)
1420: (x,y)=(37.3419,112.112)
1421: (x,y)=(33.5117,108.898)
1422: (x,y)=(32.6434,113.822)
1423: (x,y)=(35.293,109.582)
1424: (x,y)=(38.232,105.537)
1425: (x,y)=(42.5178,108.112)
1426: (x,y)=(43.1272,103.15)
1427: (x,y)=(38.2364,104.189)
1428: (x,y)=(42.6512,106.537)
